"pos";"variable";"label";"col_type";"missing";"levels";"value_labels"
1;"StudySubjectID";"Study Subject ID";"chr";0;"";""
2;"ProtocolID";"Protocol ID";"chr";0;"";""
3;"RE_INFORMATION_E1_C1";"Le médecin investigateur (ou la personne référente du service) assure avoir obtenu le";"chr";0;"";""
4;"RE_CONSENTEMENT_E1_C1";"Le patient a-t-il donné son consentement éclairé pour sa participation à ce projet? Non/OUI";"fct";0;"Non; OUI";""
5;"RE_DATE_CONSENTEMENT_E1_C1";"Quelle est la date d'obtention du Consentement éclairé (exprimée en jj/mm/aaaa)?";"date";0;"";""
6;"RE_MEDIC_DATE_E2_C2";"Date de passation de la MINI (exprimée en jj/mm/aaaa) et/ou des échelles AQ/EQ pour l'indication clinique TSA";"date";2;"";""
7;"RE_MINI_DIAG1_E2_C2";"MINI_DIAG1";"fct";2;"AUCUN; A-EPISODE DEPRESSIF MAJEUR (EDM); A'-EDM avec caractéristiques mélancoliques; B-DYSTHYMIE; C-RISQUE SUICIDAIRE; D-EPISODE (HYPO-)MANIAQUE; E-TROUBLE PANIQUE; F-AGORAPHOBIE; G-PHOBIE SOCIALE; H-TROUBLE OBSESSIONNEL COMPULSIF; I-ETAT de STRESS POST-TRAUMATIQUE; J-ALCOOL (Dépendance/Abus); K-DROGUES (Dépendance/Abus); L-TROUBLES PSYCHOTIQUES; M-ANOREXIE MENTALE; N-BOULIMIE; O-ANXIETE GENERALISEE; P-TROUBLES de la PERSONNALITE ANTISOCIALE";""
8;"RE_MINI_DIAG2_E2_C2";"MINI_DIAG2";"chr";0;"";""
9;"RE_TSA_E2_C2";"Appréciation clinique d'un diag TSA (F84.0 selon DSM-V) suivant entretien et/ou passation des échelles AQ et EQ par exemple";"fct";2;"Non; Oui";""
10;"RE_ENPSY_DATE_E2_C2";"Date de l'évaluation neuropsy de pré-inclusion; indispensable pour calculer l'âge réel du patient au moment de l'évaluation et valider les calculs normés";"date";13;"";""
11;"RE_CALC_AGE_E2_C2";"Quel est l'âge du patient à la date de l'évaluation";"dbl";13;"";""
12;"RE_MATR_NB_E2_C2";"MATRICES - Note brute";"dbl";13;"";""
13;"RE_MATR_STDR_E2_C2";"MATRICES - Note standard";"dbl";14;"";""
14;"RE_CUBES_NB_E2_C2";"CUBES - Note brute";"dbl";13;"";""
15;"RE_CUBES_STDR_E2_C2";"CUBES - Note standard";"dbl";14;"";""
16;"RE_PUZZ_NB_E2_C2";"PUZZLES VISUELS - Note brute";"dbl";13;"";""
17;"RE_PUZZ_STDR_E2_C2";"PUZZLES VISUELS - Note standard";"dbl";14;"";""
18;"RE_SIMIL_NB_E2_C2";"SIMILITUDES - Note brute";"dbl";13;"";""
19;"RE_SIMIL_STDR_E2_C2";"SIMILITUDES - Note standard";"dbl";14;"";""
20;"RE_INFO_NB_E2_C2";"INFORMATION - Note brute";"dbl";13;"";""
21;"RE_INFO_STDR_E2_C2";"INFORMATION - Note standard";"dbl";14;"";""
22;"RE_VOCAB_NB_E2_C2";"VOCABULAIRE - Note brute";"dbl";13;"";""
23;"RE_VOCAB_STDR_E2_C2";"VOCABULAIRE - Note standard";"dbl";14;"";""
24;"RE_IRP_E2_C2";"Indice de Raisonnement Perceptif (IRP)";"dbl";13;"";""
25;"RE_ICV_E2_C2";"Indice  de Compréhension Verbale (ICV)";"dbl";13;"";""
26;"RE_APT_GEN_E2_C2";"Indice d'Aptitudes Générales (IAG)";"dbl";14;"";""
27;"RE_SORTIE_E7_C7";"Le patient/usager est-il sorti d'étude prématurément? Non/Oui";"fct";0;"NON; OUI";""
28;"RE_ETAPE_E7_C7";"A quelle étape de l'étude le patient/usager a-t-il abandonné le protocole ?";"fct";66;"Pendant la phase de pré-inclusion; Avant la randomisation; Avant/Pendant l'évaluation T1; Avant/Pendant l'évaluation T2; Pendant le suivi en ESAT; Avant/pendant l'évaluation T3";""
29;"RE_MOTIF_E7_C7";"Pour quel motif/raison le patient/usager a-t-il quitté l'étude prématurément?";"fct";66;"Retrait de Consentement; Score IAG inf. 70; Abandon projet ESAT/Démission; Arrêt maladie; Hospitalisation; Non assiduité aux séances du groupe de soin; Autre motif";""
30;"RE_DATE_SORTIE_E7_C7";"Quelle est la date de sortie prématurée de l'étude  ( ie date d'obtention de la dernière donnée; exprimée en jj/mm/aaaa)?";"date";66;"";""
31;"RE_MOTIF_OTH_E7_C7";"Quel est l'autre motif de sortie prématurée de l'étude?";"chr";0;"";""
32;"RE_EMPLOYEUR2_E5_C5";"Nom de l'ESAT employeur";"fct";12;"1-Messidor 69 (Lyon); 2-Passage Pro (Allonne); 3-Iris-Messidor (Bobigny); Donnée Non Disponible";""
33;"RE_EMBAUCHE_E5_C5";"Date d'embauche/admission";"date";12;"";""
